ISO3,Country,HDI_Category,Region,HDI_Rank,HDI,Life_Expectancy,Health_Index,Mean_Years_Schooling,Mean_Schooling_Index,Expected_Years_Schooling,Expected_Schooling_Index,Education_Index,GNI_Per_Capita,Income_Index,HDI_Calculated,Health_Contribution,Education_Contribution,Income_Contribution,Bottleneck_Component,Bottleneck_Value,Strongest_Component,Strongest_Value,Component_Gap
AFG,Afghanistan,Low,SA,180.0,0.478,61.9824,0.6458830769230769,2.98506999,0.16583722166666667,10.26384398,0.5702135544444444,0.36802538805555557,1824.190915,0.4386237971833716,0.4706607238310843,1.372290153437316,0.7819335020349741,0.9319320159393404,Education,0.36802538805555557,Health,0.6458830769230769,0.2778576888675213
AGO,Angola,Medium,SSA,148.0,0.586,61.6434,0.6406676923076923,5.417390823,0.30096615683333333,12.1721,0.6762277777777778,0.4885969673055556,5465.617791,0.6043833849602035,0.5740706837611295,1.1160083774183351,0.8511094210636622,1.0528030816701435,Education,0.4885969673055556,Health,0.6406676923076923,0.1520707250021367
ALB,Albania,High,ECA,67.0,0.796,76.4626,0.8686553846153845,11.28645502,0.6270252788888889,14.44799995,0.8026666638888889,0.7148459713888888,14131.11039,0.7478714684881707,0.7743946044536154,1.1217218968464742,0.9231029855809211,0.9657498440550751,Education,0.7148459713888888,Health,0.8686553846153845,0.15380941322649566
AND,Andorra,Very High,,40.0,0.858,80.3684,0.9287446153846153,10.55511952,0.5863955288888889,13.30023874,0.7389021522222222,0.6626488405555555,51166.62661,0.9422361949613025,0.8338984721712288,1.1137382383810281,0.7946397105515866,1.129917161867432,Education,0.6626488405555555,Income,0.9422361949613025,0.279587354405747
ARE,United Arab Emirates,Very High,AS,26.0,0.911,78.7104,0.9032369230769232,12.69402981,0.7052238783333333,15.71769047,0.8732050261111112,0.7892144522222222,62573.59181,0.9726370426949116,0.885079956648976,1.0205144928337229,0.891687181811559,1.0989256229204847,Education,0.7892144522222222,Income,0.9726370426949116,0.18342259047268938
ARG,Argentina,Very High,LAC,47.0,0.842,75.3899,0.8521523076923077,11.14726927,0.6192927372222222,17.8748703,0.99304835,0.8061705436111111,20925.26814,0.8071727240649353,0.8215554404362777,1.03724260804576,0.9812734526875062,0.9824933100513527,Education,0.8061705436111111,Health,0.8521523076923077,0.045981764081196586
ARM,Armenia,High,ECA,85.0,0.759,72.0431,0.8006630769230768,11.33030033,0.6294611294444444,13.11676025,0.7287089027777778,0.679085016111111,13157.9939,0.7370937474298574,0.7372796135858369,1.0859693692450925,0.9210684841919197,0.9997479027596118,Education,0.679085016111111,Health,0.8006630769230768,0.12157806081196576
ATG,Antigua and Barbuda,High,LAC,71.0,0.788,78.4968,0.8999507692307691,9.293740746,0.5163189303333333,14.18462641,0.7880348005555555,0.6521768654444444,16792.36595,0.7739354699788827,0.768710767272129,1.17072741471329,0.848403447968837,1.0067967081107687,Education,0.6521768654444444,Health,0.8999507692307691,0.2477739037863247
AUS,Australia,Very High,,5.0,0.951,84.5265,0.9927153846153846,12.72681999,0.707045555,21.05459023,1.0,0.8535227775,49238.43335,0.9364336894456673,0.9257753916600745,1.0723069478389085,0.9219544883014086,1.0115128333304266,Education,0.8535227775,Health,0.9927153846153846,0.1391926071153845
AUT,Austria,Very High,,25.0,0.916,81.5797,0.94738,12.25669003,0.6809272238888888,16.00795937,0.8893310761111111,0.7851291499999999,53618.67138,0.9493070923830079,0.8904796790944608,1.0638985057619752,0.8816923826924461,1.066062611724469,Education,0.7851291499999999,Income,0.9493070923830079,0.16417794238300798
